time,obs1,TP53_S(ph)392_phsilac,TP53_rnaseq,TP53_silac
01hr,0.0,0.0,-1.09947743842,0.0
06hr,4.33745,0.0,1.28994182222,0.0
24hr,11.911994186900001,7.3783,1.5825213901800002,8.7825
48hr,6.07496506895,4.31348954152,0.0,0.0
